"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"531","Sammy Blais","STL","L","36","434.31666666667","8","7","4","3","15","75.00","31","25.81","3.25","53","41","42","20","1","5","12","6","6","0","0","6","11","9","103","56","10","3","1","75.00"
"542","Noah Hanifin","CGY","D","47","940.45","4","11","7","4","15","41.67","89","4.49","4.32","206","139","62","11","6","11","18","9","9","0","0","6","37","19","28","57","40","0","0","-"
"579","Nicolas Roy","VGK","C","50","650.86666666667","6","9","5","4","15","50.00","52","11.54","5.82","93","76","71","33","1","10","14","7","7","0","0","12","12","26","50","39","23","142","175","44.79"
"692","Michael McLeod","N.J","C","52","718.28333333333","9","6","3","3","15","71.43","60","15.00","6.39","104","84","70","38","4","5","42","14","10","4","0","9","23","25","89","69","20","326","307","51.50"
"725","Zach Aston-Reese","PIT","C, L","45","658.03333333333","9","6","1","5","15","60.00","79","11.39","7.51","119","97","69","38","9","8","15","6","5","1","0","4","16","14","95","64","24","7","11","38.89"
"775","Alexandre Texier","CBJ","C","49","776.13333333333","4","11","6","5","15","53.57","75","5.33","6.02","141","104","73","30","1","6","22","11","11","0","0","10","13","24","49","37","19","128","228","35.96"
"845","Dominik Kahun","EDM","C","48","615.36666666667","9","6","4","2","15","62.50","69","13.04","6.58","112","92","76","34","1","4","2","1","1","0","0","4","16","11","13","28","12","16","14","53.33"
"31","Blake Comeau","DAL","L","51","802.75","4","10","6","4","14","70.00","76","5.26","7.55","134","99","77","31","8","13","37","13","11","1","1","10","17","21","106","43","18","53","57","48.18"
"39","Bobby Ryan","DET","R","33","505.71666666667","7","7","6","1","14","70.00","73","9.59","5.35","119","94","52","22","3","4","27","8","6","1","1","7","12","10","31","34","17","5","11","31.25"
"136","TJ Brodie","TOR","D","56","1207.2166666667","1","13","4","9","14","21.88","48","2.08","2.03","110","72","23","4","0","2","12","5","5","0","0","7","51","22","34","108","84","0","0","-"
"151","Marcus Johansson","MIN","C","36","573.46666666667","6","8","5","3","14","58.33","46","13.04","4.74","85","66","41","19","1","5","4","2","2","0","0","5","19","10","12","32","12","32","53","37.65"
"177","Brian Dumoulin","PIT","D","41","916.78333333333","4","10","3","7","14","30.43","50","8.00","2.08","104","69","24","4","1","6","12","6","6","0","0","8","18","24","63","96","55","0","0","-"
"184","Casey Cizikas","NYI","C","56","774.48333333333","7","7","5","2","14","66.67","72","9.72","7.39","112","91","77","48","7","5","27","12","11","1","0","16","16","12","112","87","25","340","299","53.21"
"193","Nick Jensen","WSH","D","53","917.26666666667","2","12","6","6","14","41.18","60","3.33","1.76","107","76","23","3","2","6","14","7","7","0","0","5","29","15","56","122","65","0","0","-"
"207","Johan Larsson","ARI","L","52","726.91666666667","8","6","2","4","14","77.78","58","13.79","6.25","106","85","58","36","2","6","24","9","7","2","0","17","6","22","77","78","34","296","313","48.60"
"221","Vladimir Tarasenko","STL","R","24","418.08333333333","4","10","7","3","14","70.00","65","6.15","5.19","111","81","60","20","5","3","0","0","0","0","0","3","9","10","30","23","15","0","0","-"
"226","Jeff Skinner","BUF","L","53","769.7","7","7","4","3","14","51.85","111","6.31","10.64","189","153","109","61","1","9","14","7","7","0","0","19","30","30","20","36","12","28","32","46.67"
"304","Jamie Oleksiak","DAL","D","56","1146.7333333333","6","8","3","5","14","43.75","84","7.14","4.27","145","109","45","15","4","12","35","13","10","3","0","9","41","17","148","91","88","0","0","-"
"306","Joel Armia","MTL","R","41","602.96666666667","7","7","5","2","14","42.42","73","9.59","5.38","123","93","70","25","5","4","10","4","4","0","0","9","18","18","86","33","13","6","16","27.27"
"322","Ryan Murray","N.J","D","48","893.46666666667","0","14","4","10","14","36.84","29","0.00","1.24","67","45","17","4","2","2","8","3","3","0","0","0","22","11","38","54","73","0","0","-"
"343","Radek Faksa","DAL","C","55","958.68333333333","6","8","4","4","14","53.85","94","6.38","8.22","144","116","84","49","4","15","30","14","14","0","0","5","21","18","100","80","45","424","336","55.79"
"353","Adam Pelech","NYI","D","56","1178.35","4","10","5","5","14","27.45","82","4.88","3.97","180","123","47","10","1","9","18","9","9","0","0","6","46","25","66","92","73","0","0","-"
"520","Danton Heinen","ANA","L","43","634.86666666667","7","7","6","1","14","73.68","76","9.21","7.49","139","104","92","33","5","6","0","0","0","0","0","6","10","23","32","27","30","1","6","14.29"
"526","Oskar Lindblom","PHI","L","50","659.08333333333","8","6","4","2","14","66.67","58","13.79","6.67","102","85","57","21","1","9","9","3","2","1","0","4","9","10","43","49","24","3","2","60.00"
"596","Jake DeBrusk","BOS","L","41","610.46666666667","5","9","5","4","14","70.00","92","5.43","8.7","127","108","86","35","5","9","6","3","3","0","0","8","10","24","33","47","20","6","9","40.00"
"605","Evan Rodrigues","PIT","C","35","493.66666666667","7","7","5","2","14","70.00","65","10.77","5.56","110","82","58","25","6","4","6","3","3","0","0","6","15","15","21","63","10","54","74","42.19"
"639","Kevin Rooney","NYR","C","54","667.1","8","6","3","3","14","63.64","62","12.90","5.89","91","77","59","32","6","5","54","13","7","4","2","13","13","11","110","71","35","197","241","44.98"
"694","Tage Thompson","BUF","R","38","527.16666666667","8","6","4","2","14","73.68","96","8.33","9.33","146","115","90","48","5","9","17","7","6","1","0","7","10","13","25","31","8","2","6","25.00"
"834","Noah Dobson","NYI","D","46","754.11666666667","3","11","6","5","14","43.75","70","4.29","2.91","143","95","37","2","0","11","8","4","4","0","0","6","23","13","40","88","59","0","0","-"
"906","Artem Zub","OTT","D","47","863.96666666667","3","11","6","5","14","31.82","39","7.69","1.45","85","55","27","4","1","2","26","13","13","0","0","5","36","8","89","100","70","0","0","-"
