Player,Age
Brian Dumoulin\\dumoubr01,27
Vince Dunn\\dunnvi02,22
Christian Dvorak\\dvorach01,22
Ryan Dzingel\\dzingry01,26
Ryan Dzingel\\dzingry01,26
Ryan Dzingel\\dzingry01,26
Cody Eakin\\eakinco01,27
Patrick Eaves\\eavespa01,34
Jordan Eberle\\eberljo01,28
Alexander Edler\\edleral01,32
Joel Edmundson\\edmunjo01,25
Nikolaj Ehlers\\ehlerni01,22
Christoffer Ehn\\ehnch01,22
Jack Eichel\\eicheja01,22
Aaron Ekblad\\ekblaaa01,22
Mattias Ekholm\\ekholma01,28
Oliver Ekman-Larsson\\ekmanol01,27
Remi Elie\\eliere01,23
Lars Eller\\ellerla01,29
Stefan Elliott\\elliost01,28
Ryan Ellis\\ellisry01,28
Deryk Engelland\\engelde01,36
Andreas Englund\\engluan01,23
Tyler Ennis\\ennisty01,29
Jonathan Ericsson\\ericsjo01,34
Loui Eriksson\\erikslo01,33
Joel Eriksson Ek\\eriksjo02,22
Adam Erne\\ernead01,23
Robby Fabbri\\fabbrro01,23
Dante Fabbro\\fabbrda01,20
Radek Faksa\\faksara01,25
Justin Falk\\falkju01,30
Oscar Fantenberg\\fanteos01,27
Oscar Fantenberg\\fanteos01,27
Oscar Fantenberg\\fanteos01,27
Jesper Fast\\fastje01,27
Justin Faulk\\faulkju01,26
Taylor Fedun\\fedunta01,30
Eric Fehr\\fehrer01,33
Micheal Ferland\\ferlami01,26
Kevin Fiala\\fialake01,22
Kevin Fiala\\fialake01,22
Kevin Fiala\\fialake01,22
Valtteri Filppula\\filppva01,34
Christian Fischer\\fischch01,21
Haydn Fleury\\fleurha01,22
Warren Foegele\\foegewa01,22
Steven Fogarty\\fogarst01,25
Marcus Foligno\\foligma01,27
Nick Foligno\\foligni01,31
Christian Folin\\folinch01,27
Christian Folin\\folinch01,27
Christian Folin\\folinch01,27
Derek Forbort\\forbode01,26
Alex Formenton\\formeal01,19
Jakob Forsbacka Karlsson\\forsbja01,22
Filip Forsberg\\forsbfi01,24
Gustav Forsling\\forslgu02,22
Alexandre Fortin\\fortial01,21
Cam Fowler\\fowleca01,27
Trent Frederic\\fredetr01,20
Mark Friedman\\friedma01,23
Tanner Fritz\\fritzta01,27
Martin Frk\\frkma01,25
Michael Frolik\\frolimi01,30
Kurtis Gabriel\\gabriku01,25
Sam Gagner\\gagnesa01,29
Sam Gagner\\gagnesa01,29
Sam Gagner\\gagnesa01,29
Alex Galchenyuk\\galchal01,24
Brendan Gallagher\\gallabr01,26
Joseph Gambardella\\gambajo01,25
Dylan Gambrell\\gambrdy01,22
Jake Gardiner\\gardija01,28
Conor Garland\\garlaco01,22
Jason Garrison\\garrija01,34
Adam Gaudette\\gaudead01,22
Frederick Gaudreau\\gaudrfr01,25
Johnny Gaudreau\\gaudrjo01,25
Brendan Gaunce\\gauncbr01,24
Cameron Gaunce\\gauncca01,28
Frederik Gauthier\\gauthfr01,23
Timothy Gettinger\\gettiti01,20
Ryan Getzlaf\\getzlry01,33
Brian Gibbons\\gibbobr02,30
Brian Gibbons\\gibbobr02,30
Brian Gibbons\\gibbobr02,30
Brandon Gignac\\gignabr01,21
Dennis Gilbert\\gilbede01,22
John Gilmour\\gilmojo01,25
Stephen Gionta\\giontst01,35
Mark Giordano\\giordma01,35
Samuel Girard\\girarsa01,20
Dan Girardi\\girarda01,34
Zemgus Girgensons\\girgeze01,25
Claude Giroux\\giroucl01,31
Ben Gleason\\gleasbe01,20
Luke Glendening\\glendlu01,29
Nikolay Goldobin\\goldoni01,23
Alex Goligoski\\goligal01,33
Cody Goloubef\\golouco01,29
Barclay Goodrow\\goodrba01,25
Shayne Gostisbehere\\gostish01,25
Tyrell Goulbourne\\goulbty01,25
Yanni Gourde\\gourdya01,27
Michael Grabner\\grabnmi01,31
Markus Granlund\\granlma01,25
Mikael Granlund\\granlmi01,26
Mikael Granlund\\granlmi01,26
Mikael Granlund\\granlmi01,26
Derek Grant\\grantde01,28
Derek Grant\\grantde01,28
Derek Grant\\grantde01,28
Kevin Gravel\\graveke01,26
Ryan Graves\\gravery01,23
Anthony Greco\\grecoan01,25
Mike Green\\greenmi03,33
Andy Greene\\greenan01,36
Jordan Greenway\\greenjo02,21
A.J. Greer\\greeraj01,22
Rocco Grimaldi\\grimaro01,25
Carl Grundstrom\\grundca01,21
Eric Gryba\\grybaer01,30
Matt Grzelcyk\\grzelma01,25
Radko Gudas\\gudasra01,28
Erik Gudbranson\\gudbrer01,27
Erik Gudbranson\\gudbrer01,27
Erik Gudbranson\\gudbrer01,27
Jake Guentzel\\guentja01,24
Brendan Guhle\\guhlebr01,21
Brendan Guhle\\guhlebr01,21
Brendan Guhle\\guhlebr01,21
Carl Gunnarsson\\gunnaca01,32
Denis Gurianov\\guriade01,21
Erik Gustafsson\\gustaer02,26
Carl Hagelin\\hagelca01,30
Carl Hagelin\\hagelca01,30
Carl Hagelin\\hagelca01,30
Carl Hagelin\\hagelca01,30
Robert Hagg\\haggro01,23
Ron Hainsey\\hainsro01,37
Libor Hajek\\hajekli01,20
Micheal Haley\\haleymi01,32
Micheal Haley\\haleymi01,32
Micheal Haley\\haleymi01,32
Taylor Hall\\hallta02,27
Dan Hamhuis\\hamhuda01,36
Dougie Hamilton\\hamildo01,25
Travis Hamonic\\hamontr01,28
Noah Hanifin\\hanifno01,22
Joel Hanley\\hanlejo01,27
Markus Hannikainen\\hannima01,25
Martin Hanzal\\hanzama01,31
Ben Harpur\\harpube01,24
Scott Harrington\\harrisc01,25
Ryan Hartman\\hartmry01,24
Ryan Hartman\\hartmry01,24
Ryan Hartman\\hartmry01,24
Garnet Hathaway\\hathaga01,27
Erik Haula\\haulaer01,27
Jayce Hawryluk\\hawryja01,23
John Hayden\\haydejo01,23
Kevin Hayes\\hayeske01,26
Kevin Hayes\\hayeske01,26
Kevin Hayes\\hayeske01,26
Dillon Heatherington\\heathdi01,23
Victor Hedman\\hedmavi01,28
Tim Heed\\heedti01,28
Danton Heinen\\heineda01,23
Miro Heiskanen\\heiskmi01,19
Darren Helm\\helmda01,32
Matt Hendricks\\hendrma01,37
Matt Hendricks\\hendrma01,37
Matt Hendricks\\hendrma01,37
Adam Henrique\\henriad01,28
Tomas Hertl\\hertlto01,25
Joe Hicketts\\hickejo01,22
Thomas Hickey\\hicketh01,29
Vinnie Hinostroza\\hinosvi01,24
Roope Hintz\\hintzro01,22
Taro Hirose\\hirosta01,22
Nico Hischier\\hischni01,20
